time,open,high,low,close,volume,ticker
2023-01-03,64190,65860,63940,65860,1496000,VNM
2023-01-04,66020,66540,65950,66540,1089800,VNM
2023-01-05,66540,68300,66280,68120,2469800,VNM
2023-01-06,67950,68120,66780,66950,1269700,VNM
2023-01-09,67040,67710,66780,67710,948300,VNM
2023-01-10,67870,68380,67630,67950,1196000,VNM
2023-01-11,67950,68460,66610,66610,1534700,VNM
2023-01-12,67040,67290,66540,67110,684900,VNM
2023-01-13,67290,68040,67210,67630,1449000,VNM
2023-01-16,67630,67790,66610,66610,654700,VNM
2023-01-17,67290,67950,66610,67870,1671400,VNM
2023-01-18,67870,68380,67710,68200,1297900,VNM
2023-01-19,67790,68380,67110,68200,2627700,VNM
2023-01-27,68300,68720,66780,67110,2331800,VNM
2023-01-30,67110,67110,66610,66610,1614000,VNM
2023-01-31,66460,66700,64510,64680,4817500,VNM
2023-02-01,65190,65290,64510,64760,1810400,VNM
2023-02-02,64930,65019,64349,64349,1494400,VNM
2023-02-03,64610,64680,63680,63770,1855200,VNM
2023-02-06,63680,65019,63680,64930,1910700,VNM
2023-02-07,65120,65120,63840,63840,1274400,VNM
2023-02-08,63940,64260,63510,63590,1550000,VNM
2023-02-09,63590,63770,62940,62940,1593600,VNM
2023-02-10,62940,63680,62940,63680,1236100,VNM
2023-02-13,63680,63680,62160,63180,1569000,VNM
2023-02-14,63180,63510,62420,62680,1073500,VNM
2023-02-15,62680,63770,62420,63770,1443500,VNM
2023-02-16,63770,64190,63420,64190,691300,VNM
2023-02-17,63840,64090,63180,63770,777000,VNM
2023-02-20,63770,65019,63330,65019,1385300,VNM
2023-02-21,65019,65120,64349,64760,888300,VNM
2023-02-22,64019,64349,63330,63330,1295600,VNM
2023-02-23,63330,64510,62420,63510,2327900,VNM
2023-02-24,63510,63770,62510,62680,1681000,VNM
2023-02-27,62680,63680,62080,63080,1112500,VNM
2023-02-28,63330,63680,63010,63330,1034300,VNM
2023-03-01,63010,64610,62940,64510,1635500,VNM
2023-03-02,64510,64510,63840,64190,1088800,VNM
2023-03-03,62940,64430,62940,63770,704200,VNM
2023-03-06,63770,64260,62940,62940,891800,VNM
2023-03-07,63680,63940,63330,63590,1170900,VNM
2023-03-08,63080,64190,62940,64190,1244400,VNM
2023-03-09,63940,64680,63940,64190,1389700,VNM
2023-03-10,64190,64760,63840,64510,1427700,VNM
2023-03-13,64430,64680,64260,64510,1824500,VNM
2023-03-14,64019,64510,63420,64260,1735100,VNM
2023-03-15,64260,64860,64190,64680,1960200,VNM
2023-03-16,64610,64680,63680,64090,1529200,VNM
2023-03-17,64090,64090,62510,62510,2432800,VNM
2023-03-20,62940,62940,62160,62340,1609600,VNM
2023-03-21,62420,63010,62250,62420,1350200,VNM
2023-03-22,62590,62680,62420,62420,710300,VNM
2023-03-23,62340,63180,62080,62760,1194400,VNM
2023-03-24,62940,63330,62760,62840,850300,VNM
2023-03-27,62940,62940,62340,62420,1212200,VNM
2023-03-28,62510,63180,62420,62590,1437800,VNM
2023-03-29,62680,62840,62420,62510,842100,VNM
2023-03-30,62680,63260,62590,63010,781300,VNM
2023-03-31,62940,63260,62420,62420,877700,VNM
2023-04-03,62590,62840,62250,62680,775400,VNM
2023-04-04,62420,62510,62250,62420,1659100,VNM
2023-04-05,62250,62760,62160,62420,903000,VNM
2023-04-06,62420,62590,62340,62340,866600,VNM
2023-04-07,62420,62680,62340,62680,702800,VNM
2023-04-10,62680,62680,62510,62590,764400,VNM
2023-04-11,62340,62510,62160,62420,717800,VNM
2023-04-12,62420,62420,62080,62080,910700,VNM
2023-04-13,62340,62420,61670,61750,812500,VNM
2023-04-14,61750,61850,61080,61080,1214800,VNM
2023-04-17,61080,61160,60150,60410,1216500,VNM
2023-04-18,60240,60660,60240,60500,712600,VNM
2023-04-19,61330,61330,60410,60410,690300,VNM
2023-04-20,60500,60900,60240,60730,783700,VNM
2023-04-21,60410,60410,59400,59740,971800,VNM
2023-04-24,59560,59640,58900,59150,1134600,VNM
2023-04-25,59150,59890,58550,58550,1267500,VNM
2023-04-26,58730,59500,58730,59500,858700,VNM
2023-04-27,59560,59560,58310,58550,1226400,VNM
2023-04-28,58550,58900,58480,58640,760200,VNM
2023-05-04,58730,58730,57380,57730,2491100,VNM
2023-05-05,57550,58060,57550,57880,660100,VNM
2023-05-08,57880,59070,57880,58810,1101700,VNM
2023-05-09,59400,59560,59150,59400,809200,VNM
2023-05-10,59400,59640,59150,59230,826800,VNM
2023-05-11,59150,59500,58730,58730,412100,VNM
2023-05-12,59070,59070,58310,58310,868600,VNM
2023-05-15,58640,58640,57880,57980,1436500,VNM
2023-05-16,57880,58480,57880,58390,1308100,VNM
2023-05-17,58480,58480,57730,57980,1788600,VNM
2023-05-18,57880,58730,57460,58150,2416100,VNM
2023-05-19,58240,58310,57550,57730,1059600,VNM
2023-05-22,57640,57880,57290,57290,1598700,VNM
2023-05-23,57060,57380,56200,56290,2671700,VNM
2023-05-24,56290,56540,55450,55640,2350000,VNM
2023-05-25,55540,56630,55380,56290,1305500,VNM
2023-05-26,56540,57060,56290,56290,904500,VNM
2023-05-29,56460,56810,56290,56290,1043600,VNM
2023-05-30,56290,56540,55790,55790,1770500,VNM
2023-05-31,56030,56030,55450,55450,1466600,VNM
2023-06-01,55450,55790,55380,55450,1214500,VNM
2023-06-02,55540,55640,54940,55290,2969700,VNM
2023-06-05,55790,56380,55540,55790,3323000,VNM
2023-06-06,56130,56130,55380,55720,3423000,VNM
2023-06-07,55790,55960,55380,55540,3719000,VNM
2023-06-08,55790,55790,54940,54940,5036500,VNM
2023-06-09,55040,55790,54940,55190,2080200,VNM
2023-06-12,55380,57060,55380,56980,5450300,VNM
2023-06-13,57140,57290,56630,56720,4943400,VNM
2023-06-14,56810,57210,56290,56290,4910200,VNM
2023-06-15,56460,56540,55540,55640,4687800,VNM
2023-06-16,55790,55890,55380,55450,5993000,VNM
2023-06-19,55640,55890,55040,55190,3279400,VNM
2023-06-20,55290,55290,54940,54940,2963000,VNM
2023-06-21,55040,55640,54940,55640,3490900,VNM
2023-06-22,55790,56460,55640,56130,5610600,VNM
2023-06-23,56200,58310,56200,57980,11958000,VNM
2023-06-26,58150,59320,57290,59230,10737800,VNM
2023-06-27,59400,59400,58390,59150,5978900,VNM
2023-06-28,59150,59500,58480,59230,6154700,VNM
2023-06-29,59230,60730,58810,60330,7698400,VNM
2023-06-30,60330,60410,59400,59560,3645000,VNM
2023-07-03,59640,59890,58980,59320,3186200,VNM
2023-07-04,59150,59740,58810,59230,4781600,VNM
2023-07-05,59400,59400,58390,58550,6659200,VNM
2023-07-06,58640,59320,58550,59150,7631000,VNM
2023-07-07,59320,59740,59070,59500,5780500,VNM
2023-07-10,59890,60990,59740,60500,6171100,VNM
2023-07-11,60500,61590,60150,61080,5702300,VNM
2023-07-12,61160,61670,60900,61670,4195800,VNM
2023-07-13,61590,61920,61160,61330,3783500,VNM
2023-07-14,61410,61590,60500,61500,5209700,VNM
2023-07-17,61240,61750,60580,60660,3922800,VNM
2023-07-18,60830,60900,60580,60730,2930000,VNM
2023-07-19,60830,61240,60730,60900,2945100,VNM
2023-07-20,60900,61080,60660,60900,2600700,VNM
2023-07-21,60900,61670,60830,61670,3341800,VNM
2023-07-24,61670,62080,61500,61750,2535300,VNM
2023-07-25,61750,62680,61330,62510,4245900,VNM
2023-07-26,62420,63080,62340,62940,3189700,VNM
2023-07-27,62940,63590,62760,63510,4178200,VNM
2023-07-28,63590,65190,63420,64930,5473600,VNM
2023-07-31,64860,65770,64760,65440,3364900,VNM
2023-08-01,65440,65440,63770,63770,5730800,VNM
2023-08-02,63770,64190,63180,63840,2678900,VNM
2023-08-03,64250,64250,62950,62950,2917600,VNM
2023-08-04,62850,63280,62420,63280,3165200,VNM
2023-08-07,63200,64920,62680,64920,4317900,VNM
2023-08-08,64750,64920,64069,64590,3430500,VNM
2023-08-09,64590,64590,63100,63360,3705000,VNM
2023-08-10,63360,64150,63200,63360,2733200,VNM
2023-08-11,63360,63720,62770,63720,2181300,VNM
2023-08-14,63630,63720,62850,63630,3066500,VNM
2023-08-15,63200,63630,63030,63100,2219700,VNM
2023-08-16,63100,63720,62850,63360,2083900,VNM
2023-08-17,63360,64590,63200,63820,4580900,VNM
2023-08-18,63720,64849,62510,63550,7106200,VNM
2023-08-21,63030,63980,63030,63200,3055200,VNM
2023-08-22,63450,63450,61650,63030,3075100,VNM
2023-08-23,62770,63820,62060,63720,3072800,VNM
2023-08-24,63720,64920,63280,64750,4419900,VNM
2023-08-25,65290,65290,64400,64920,2751400,VNM
2023-08-28,65019,67710,65019,67530,5466800,VNM
2023-08-29,67190,67270,66050,67090,4199900,VNM
2023-08-30,66740,68050,66320,67450,2659700,VNM
2023-08-31,67190,68400,66830,67450,3836000,VNM
2023-09-05,68050,69790,67710,69430,6839900,VNM
2023-09-06,69430,69430,68930,69360,2280400,VNM
2023-09-07,69260,69360,68130,68930,3526700,VNM
2023-09-08,68670,69430,68570,69360,2774900,VNM
2023-09-11,69360,70290,67270,68930,4234900,VNM
2023-09-12,68490,69970,67870,69610,2668500,VNM
2023-09-13,68990,69610,68220,68570,2507000,VNM
2023-09-14,68050,69360,67960,68830,2482600,VNM
2023-09-15,68830,70390,68490,68930,5614800,VNM
2023-09-18,68570,69170,68220,68400,1322100,VNM
2023-09-19,68050,68400,67090,68400,2571700,VNM
2023-09-20,67960,68310,67620,67870,1842800,VNM
2023-09-21,67710,67870,67010,67620,2537900,VNM
2023-09-22,66830,67870,65710,67190,4244900,VNM
2023-09-25,66920,68050,66500,67270,2755500,VNM
2023-09-26,67270,67620,65890,65970,2534600,VNM
2023-09-27,66150,66410,64849,66410,2273300,VNM
2023-09-28,65970,66230,64849,64849,1889300,VNM
2023-09-29,65019,66230,64319,64319,1403900,VNM
2023-10-02,64319,65530,64319,65530,1159900,VNM
2023-10-03,64660,65120,64069,64150,1993700,VNM
2023-10-04,63820,64660,63630,64489,1077900,VNM
2023-10-05,64250,64489,63030,63030,2571400,VNM
2023-10-06,63030,64319,62950,64319,1227000,VNM
2023-10-09,64150,64250,63820,63890,830900,VNM
2023-10-10,64400,65019,64150,64489,1023900,VNM
2023-10-11,64660,64849,64150,64489,1134400,VNM
2023-10-12,64590,65790,64590,65440,2534800,VNM
2023-10-13,65290,66150,65019,65710,1487000,VNM
2023-10-16,65120,65710,64750,65190,1344400,VNM
2023-10-17,65290,65970,64849,64849,1421900,VNM
2023-10-18,64849,64849,62770,64069,2572400,VNM
2023-10-19,63630,63630,61460,61900,3904700,VNM
2023-10-20,61820,62850,60850,62680,2371800,VNM
2023-10-23,62150,62420,60760,60850,2725900,VNM
2023-10-24,60850,61380,60760,60930,1099500,VNM
2023-10-25,60930,61380,59810,59810,2423700,VNM
2023-10-26,59380,59480,57130,58090,5201700,VNM
2023-10-27,58350,58950,57740,58950,1811000,VNM
2023-10-30,58860,58950,58170,58590,1047000,VNM
2023-10-31,58860,60250,58590,58950,2183600,VNM
2023-11-01,59810,61120,58860,61030,2337200,VNM
2023-11-02,61120,61460,60520,61460,2390200,VNM
2023-11-03,61460,61460,60520,60680,1692700,VNM
2023-11-06,60850,61970,60760,61550,1136800,VNM
2023-11-07,61120,61380,60520,61380,1474700,VNM
2023-11-08,60850,61970,60520,61900,2339600,VNM
2023-11-09,62060,62510,61280,61280,3420100,VNM
2023-11-10,61380,61380,60340,60340,2833100,VNM
2023-11-13,60430,60680,59480,59550,1730800,VNM
2023-11-14,59810,60160,59130,59730,2996000,VNM
2023-11-15,60680,62240,60680,61280,3949400,VNM
2023-11-16,61200,61820,60600,60930,2338200,VNM
2023-11-17,61550,61650,59990,60680,2335800,VNM
2023-11-20,59990,60600,59810,60070,1770000,VNM
2023-11-21,60160,60520,59730,60250,2959800,VNM
2023-11-22,60250,60850,59810,60160,1302200,VNM
2023-11-23,60520,60600,59550,59550,1623100,VNM
2023-11-24,59480,59730,58590,59210,3128900,VNM
2023-11-27,59210,59300,58860,59040,1333300,VNM
2023-11-28,59040,59380,58510,59380,1775600,VNM
2023-11-29,59380,59630,59130,59300,1262500,VNM
2023-11-30,59300,59550,58420,58420,2581600,VNM
2023-12-01,58950,59380,58690,59300,1391800,VNM
2023-12-04,59380,60250,59300,59630,3006800,VNM
2023-12-05,59630,59810,58950,59040,2302100,VNM
2023-12-06,59040,59480,59040,59380,1606600,VNM
2023-12-07,59630,59630,58510,59300,3874400,VNM
2023-12-08,59300,60070,58950,59810,3729400,VNM
2023-12-11,61120,61120,60600,60680,4734500,VNM
2023-12-12,60680,60760,59810,60160,2788700,VNM
2023-12-13,60340,60430,59040,59130,4511000,VNM
2023-12-14,59300,59730,59130,59300,1462000,VNM
2023-12-15,59380,59480,59040,59040,3739700,VNM
2023-12-18,59040,59130,58090,58090,3513100,VNM
2023-12-19,58170,58420,57470,58090,3061900,VNM
2023-12-20,58090,59130,58090,59040,2603900,VNM
2023-12-21,58860,59210,58770,58770,2585900,VNM
2023-12-22,58770,59040,58510,58590,2145700,VNM
2023-12-25,58590,59550,58590,58860,2672700,VNM
2023-12-26,59210,59380,58950,58950,1975400,VNM
2023-12-27,59380,59560,58950,58950,1626400,VNM
2023-12-28,58950,59820,58950,59820,2408700,VNM
2023-12-29,60000,60000,59040,59040,1954700,VNM
2024-01-02,59560,59820,59300,59640,2142800,VNM
2024-01-03,59740,60260,59380,60260,1889800,VNM
2024-01-04,60350,60690,60260,60260,3401500,VNM
2024-01-05,60530,60530,59820,60080,1475700,VNM
2024-01-08,60260,60350,59560,59560,2396400,VNM
2024-01-09,59560,59820,59380,59480,2460400,VNM
2024-01-10,59480,59480,58860,58950,3006600,VNM
2024-01-11,58950,59820,58950,59300,2083900,VNM
2024-01-12,59040,59300,58510,58690,3283000,VNM
2024-01-15,58690,58950,58510,58510,2226700,VNM
2024-01-16,58510,58860,58260,58860,2072400,VNM
2024-01-17,58950,59300,58510,58590,1826400,VNM
2024-01-18,58770,59210,58770,58860,1228400,VNM
2024-01-19,58860,59900,58860,59380,2619900,VNM
2024-01-22,59380,60000,59380,59640,1959800,VNM
2024-01-23,59640,59640,59040,59130,2112000,VNM
2024-01-24,59210,59380,58690,58770,2083500,VNM
2024-01-25,58860,58950,58420,58420,2660500,VNM
2024-01-26,58510,58950,58510,58510,1675800,VNM
2024-01-29,58590,58770,58420,58510,1732800,VNM
2024-01-30,58770,58770,58420,58420,1790400,VNM
2024-01-31,58690,59560,58420,58510,4020100,VNM
2024-02-01,58690,59210,58690,58950,2499300,VNM
2024-02-02,58950,59130,58510,58860,2611300,VNM
2024-02-05,58860,59560,58690,59380,3565900,VNM
2024-02-06,59480,59560,59040,59040,2392800,VNM
2024-02-07,59040,59300,58690,59040,2736300,VNM
2024-02-15,59040,59380,58690,59040,3876600,VNM
2024-02-16,59210,61390,58950,61130,11114600,VNM
2024-02-19,61920,63400,61740,62780,6652800,VNM
2024-02-20,62610,63230,62260,62450,4385700,VNM
2024-02-21,62450,62780,61990,62260,3590200,VNM
2024-02-22,62260,63490,62090,62530,4648100,VNM
2024-02-23,62710,63490,61990,61990,6142500,VNM
2024-02-26,61990,62610,61740,61990,3048400,VNM
2024-02-27,62180,63230,62090,62880,5282500,VNM
2024-02-28,63230,63400,62450,63050,3419000,VNM
2024-02-29,63400,64019,62530,62880,6539800,VNM
2024-03-01,62980,62980,62180,62450,4397700,VNM
2024-03-04,62710,63490,62530,62880,5014600,VNM
2024-03-05,62880,63760,62610,63760,5440900,VNM
2024-03-06,64019,64190,62710,62710,4833900,VNM
2024-03-07,62610,62980,62260,62880,5067600,VNM
2024-03-08,62980,63660,61130,61130,7361000,VNM
2024-03-11,61570,62260,61130,61390,4208400,VNM
2024-03-12,61480,61660,61130,61130,3844000,VNM
2024-03-13,61220,61920,61130,61840,5646500,VNM
2024-03-14,61990,62260,61390,61570,5445400,VNM
2024-03-15,62000,62000,60770,60860,4851100,VNM
2024-03-18,60860,61120,59790,60060,6796400,VNM
2024-03-19,60600,60600,59980,59980,3164500,VNM
2024-03-20,59980,60680,59710,60150,3546900,VNM
2024-03-21,60330,60600,60060,60510,4906200,VNM
2024-03-22,60680,60770,59980,59980,6066700,VNM
2024-03-25,60060,60330,59360,59540,5450700,VNM
2024-03-26,59610,60060,59540,59880,2504200,VNM
2024-03-27,60150,60150,59710,59880,2637700,VNM
2024-03-28,59880,60510,59790,59880,4470700,VNM
2024-03-29,60510,60510,59710,59790,3484600,VNM
2024-04-01,59790,59880,59270,59270,4988000,VNM
2024-04-02,59270,59610,59000,59540,4322900,VNM
2024-04-03,59540,59540,59000,59000,5046100,VNM
2024-04-04,59000,60510,59000,60330,7472800,VNM
2024-04-05,60330,60330,59880,60060,4233800,VNM
2024-04-08,60150,60150,59180,59270,3666000,VNM
2024-04-09,59360,59540,59100,59270,2516000,VNM
2024-04-10,59360,59540,59100,59100,2765500,VNM
2024-04-11,59000,59180,58830,58920,2947700,VNM
2024-04-12,59100,59360,58920,59000,2509200,VNM
2024-04-15,59000,59000,57410,57410,5756100,VNM
2024-04-16,57410,57500,55730,56610,7128700,VNM
2024-04-17,56980,57410,56800,56800,4589800,VNM
2024-04-19,56800,56980,55990,56800,4516100,VNM
2024-04-22,57230,57770,56610,56610,2035200,VNM
2024-04-23,56800,56880,55920,56170,2014400,VNM
2024-04-24,56610,56880,56170,56610,2401300,VNM
2024-04-25,56610,57320,56530,57230,1916000,VNM
2024-04-26,57230,58210,57060,57500,2940600,VNM
2024-05-02,57860,57940,57410,57860,2563400,VNM
2024-05-03,58040,58380,57940,58040,1966400,VNM
2024-05-06,58210,58730,57940,58210,2261300,VNM
2024-05-07,58380,60600,58300,60150,8485900,VNM
2024-05-08,60150,60150,59360,60060,2964400,VNM
2024-05-09,60060,60060,58920,58920,2998000,VNM
2024-05-10,59000,59710,58470,58830,2418100,VNM
2024-05-13,58920,59100,57860,58210,2732500,VNM
2024-05-14,58300,59270,58300,58830,2433100,VNM
2024-05-15,59180,59540,59000,59270,3234900,VNM
2024-05-16,59360,59880,59270,59450,2911400,VNM
2024-05-17,59540,59980,59100,59270,4169000,VNM
2024-05-20,59360,59790,58730,58730,4920600,VNM
2024-05-21,58730,58920,58210,58560,3799500,VNM
2024-05-22,58730,59000,58210,58210,3618300,VNM
2024-05-23,58380,59270,58210,59270,2991400,VNM
2024-05-24,59000,59180,58120,58380,4104100,VNM
2024-05-27,58470,58920,58210,58470,2336600,VNM
2024-05-28,58650,59540,58470,59100,5347500,VNM
2024-05-29,59270,59540,58380,58650,3357900,VNM
2024-05-30,58470,58560,57940,58120,4412600,VNM
2024-05-31,58300,58300,57770,57860,4143400,VNM
2024-06-03,58210,58920,58120,58470,3190500,VNM
2024-06-04,58470,58920,58380,58380,2445200,VNM
2024-06-05,58560,61210,58560,60600,11865800,VNM
2024-06-06,61040,61040,59450,59450,4887800,VNM
2024-06-07,59790,60680,59710,59980,4127600,VNM
2024-06-10,60510,60600,59450,59450,4564100,VNM
2024-06-11,59610,59710,58730,58830,6177100,VNM
2024-06-12,58830,59540,58650,59270,3425100,VNM
2024-06-13,59270,59610,59100,59180,2803600,VNM
2024-06-14,59270,59540,58560,58560,4124200,VNM
2024-06-17,58650,58920,58380,58380,3617600,VNM
2024-06-18,58830,58830,58300,58300,2751700,VNM
2024-06-19,58380,58380,57590,57770,6155000,VNM
2024-06-20,57860,59100,57670,58380,4397100,VNM
2024-06-21,58830,59360,58380,58380,3967700,VNM
2024-06-24,58470,58920,57770,57940,3847700,VNM
2024-06-25,58210,58560,57940,57940,2433600,VNM
2024-06-26,58210,58210,57590,57670,2485100,VNM
2024-06-27,57670,58040,57590,57770,2708400,VNM
2024-06-28,57940,58380,57770,57940,2731700,VNM
2024-07-01,58210,58380,57770,58380,1909300,VNM
2024-07-02,58380,58650,58210,58560,2042800,VNM
2024-07-03,58560,58650,58380,58560,1332600,VNM
2024-07-04,58650,59180,58650,58730,2688900,VNM
2024-07-05,58730,59710,58730,59450,4180100,VNM
